file;minutes;volumes;fd_threshold;afni_dof
sub-19_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-19_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-20_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-20_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-20_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-21_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-21_ses-1_task-SB_setting-preproc_bold.nii.gz;5;100;1.0;35.0
sub-21_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-21_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-22_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;34.0
sub-22_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-22_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-22_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-23_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-23_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-23_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;33.0
sub-23_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-24_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-24_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-24_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-25_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;33.0
sub-25_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-25_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;33.0
sub-25_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-01_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-01_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;33.0
sub-01_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-01_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;32.0
sub-02_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;35.0
sub-02_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-02_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;33.0
sub-02_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-03_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;33.0
sub-03_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-03_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;32.0
sub-03_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-04_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-04_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;25.0
sub-04_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-04_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;33.0
sub-05_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;35.0
sub-05_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-05_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;35.0
sub-05_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-06_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;18.0
sub-06_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;32.0
sub-06_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;28.0
sub-07_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;11.0
sub-07_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;25.0
sub-07_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-07_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;29.0
sub-08_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;
sub-08_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-08_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-08_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;34.0
sub-09_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;23.0
sub-09_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-09_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;28.0
sub-09_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-10_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;16.0
sub-10_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-10_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;20.0
sub-10_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-11_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-11_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;31.0
sub-11_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-11_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-12_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;31.0
sub-12_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-12_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;32.0
sub-12_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-13_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;34.0
sub-13_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-13_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;29.0
sub-13_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;22.0
sub-14_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;32.0
sub-14_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;
sub-14_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-14_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;21.0
sub-15_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-15_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;29.0
sub-15_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;
sub-15_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;19.0
sub-16_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;24.0
sub-16_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-16_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;32.0
sub-16_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;28.0
sub-17_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;28.0
sub-17_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-17_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;33.0
sub-17_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-18_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;32.0
sub-18_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;34.0
sub-18_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;29.0
sub-18_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;30.0
sub-19_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-19_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;26.0
sub-19_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-19_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-20_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-20_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;35.0
sub-20_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-21_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;35.0
sub-21_ses-1_task-SB_setting-preproc_bold.nii.gz;5;100;0.4;35.0
sub-21_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;35.0
sub-21_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-22_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;1.0
sub-22_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;33.0
sub-22_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;0.4;22.0
sub-22_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;28.0
sub-23_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;24.0
sub-23_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-23_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;11.0
sub-23_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-24_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;28.0
sub-24_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;33.0
sub-24_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;33.0
sub-25_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;22.0
sub-25_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;35.0
sub-25_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;0.4;
sub-25_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;0.4;28.0
sub-01_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;26.0
sub-01_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-01_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;6.0
sub-01_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-02_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-02_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-02_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-02_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-03_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-03_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-03_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-03_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-04_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-04_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-04_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-04_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-05_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-05_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-05_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-05_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-06_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-06_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-06_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;41.0
sub-07_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;39.0
sub-07_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-07_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;38.0
sub-07_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-08_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-08_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-08_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-08_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-09_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-09_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-09_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-09_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-10_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-10_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-10_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-10_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-11_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-11_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;42.0
sub-11_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;43.0
sub-11_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-12_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-12_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-12_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-12_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-13_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-13_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-13_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-13_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;40.0
sub-14_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-14_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-14_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;43.0
sub-14_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-15_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;34.0
sub-15_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-15_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;29.0
sub-15_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;39.0
sub-16_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-16_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-16_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-16_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-17_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-17_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-17_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-17_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-18_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-18_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-18_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-18_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-19_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-19_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-19_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-19_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-20_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-20_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-20_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-21_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-21_ses-1_task-SB_setting-preproc_bold.nii.gz;6;120;1.0;45.0
sub-21_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-21_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-22_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;44.0
sub-22_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-22_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;520;1.0;45.0
sub-22_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-23_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-23_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-23_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;43.0
sub-23_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-24_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;45.0
sub-24_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-24_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;41.0
sub-25_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;43.0
sub-25_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;43.0
sub-25_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;1.0;43.0
sub-25_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;1.0;42.0
sub-01_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;
sub-01_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;39.0
sub-01_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;
sub-01_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;36.0
sub-02_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;45.0
sub-02_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-02_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;43.0
sub-02_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-03_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;40.0
sub-03_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-03_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;42.0
sub-03_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-04_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;
sub-04_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;30.0
sub-04_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;1.0
sub-04_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;41.0
sub-05_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;45.0
sub-05_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
